hmd_name,iso3
Australia,AUS
Austria,AUT
Belarus,BLR
Belgium,BEL
Bulgaria,BGR
Canada,CAN
Chile,CHL
Croatia,HRV
Czechia,CZE
Denmark,DNK
East Germany,NA
England and Wales (Civilian Population),NA
England and Wales (Total Population),NA
Estonia,EST
Finland,FIN
France,FRA
Germany,DEU
Greece,GRC
Hong Kong,HKG
Hungary,HUN
Iceland,ISL
Ireland,IRL
Israel,ISR
Italy,ITA
Japan,JPN
Latvia,LVA
Lithuania,LTU
Luxembourg,LUX
Netherlands,NLD
New Zealand,NZL
New Zealand Maori,NZL
New Zealand Non-Maori,NZL
Northern Ireland,NA
Norway,NOR
Poland,POL
Portugal,PRT
Republic of Korea,KOR
Russia,RUS
Scotland,NA
Slovakia,SVK
Slovenia,SVN
Spain,ESP
Sweden,SWE
Switzerland,CHE
Taiwan,TWN
U.K.,GBR
U.S.A.,USA
Ukraine,UKR
West Germany,NA
